n,experimento,es_secuencial,cantThreadsLectura,cantThreadsMaximo,tiempo
8,maximo,No,1,16,0.6449005
9,maximo,No,1,16,0.646276
10,maximo,No,1,16,0.647582
1,maximo,No,1,17,0.646276
2,maximo,No,1,17,0.6449005
3,maximo,No,1,17,0.642339
4,maximo,No,1,17,0.6406419999999999
5,maximo,No,1,17,0.636293
6,maximo,No,1,17,0.6362495
7,maximo,No,1,17,0.640617
8,maximo,No,1,17,0.641752
9,maximo,No,1,17,0.644806
10,maximo,No,1,17,0.6459109999999999
1,maximo,No,1,18,0.644806
2,maximo,No,1,18,0.641752
3,maximo,No,1,18,0.640667
4,maximo,No,1,18,0.6380175
5,maximo,No,1,18,0.636206
6,maximo,No,1,18,0.6401795
7,maximo,No,1,18,0.641165
8,maximo,No,1,18,0.6444835
9,maximo,No,1,18,0.645546
10,maximo,No,1,18,0.646863
1,maximo,No,1,19,0.646276
2,maximo,No,1,19,0.6449005
3,maximo,No,1,19,0.642339
4,maximo,No,1,19,0.640916
5,maximo,No,1,19,0.641165
6,maximo,No,1,19,0.6444835
7,maximo,No,1,19,0.645546
8,maximo,No,1,19,0.646863
9,maximo,No,1,19,0.648182
10,maximo,No,1,19,0.6490435
1,maximo,No,1,20,0.648264
2,maximo,No,1,20,0.6481
3,maximo,No,1,20,0.647146
4,maximo,No,1,20,0.646428
5,maximo,No,1,20,0.646276
6,maximo,No,1,20,0.646863
7,maximo,No,1,20,0.648182
8,maximo,No,1,20,0.6490435
9,maximo,No,1,20,0.64997
10,maximo,No,1,20,0.6511495
1,maximo,No,1,21,0.64997
2,maximo,No,1,21,0.649793
3,maximo,No,1,21,0.649762
4,maximo,No,1,21,0.648223
5,maximo,No,1,21,0.648182
6,maximo,No,1,21,0.6490435
7,maximo,No,1,21,0.64997
8,maximo,No,1,21,0.6511495
9,maximo,No,1,21,0.652225
10,maximo,No,1,21,0.653437
1,maximo,No,1,22,0.652225
2,maximo,No,1,22,0.6511495
3,maximo,No,1,22,0.650539
4,maximo,No,1,22,0.649897
5,maximo,No,1,22,0.649824
6,maximo,No,1,22,0.6504909999999999
7,maximo,No,1,22,0.651726
8,maximo,No,1,22,0.6523695
9,maximo,No,1,22,0.653162
10,maximo,No,1,22,0.6545865
1,maximo,No,1,23,0.653904
2,maximo,No,1,23,0.654129
3,maximo,No,1,23,0.653904
4,maximo,No,1,23,0.653533
5,maximo,No,1,23,0.653162
6,maximo,No,1,23,0.6545865
7,maximo,No,1,23,0.657552
8,maximo,No,1,23,0.6589535
9,maximo,No,1,23,0.661626
10,maximo,No,1,23,0.661961
1,maximo,No,1,24,0.662949
2,maximo,No,1,24,0.661961
3,maximo,No,1,24,0.661978
4,maximo,No,1,24,0.6618845
5,maximo,No,1,24,0.661944
6,maximo,No,1,24,0.6629735
7,maximo,No,1,24,0.663245
8,maximo,No,1,24,0.6643045000000001
9,maximo,No,1,24,0.66589
10,maximo,No,1,24,0.6682455
1,maximo,No,1,25,0.66589
2,maximo,No,1,25,0.665049
3,maximo,No,1,25,0.663633
4,maximo,No,1,25,0.6633745
5,maximo,No,1,25,0.663245
6,maximo,No,1,25,0.663889
7,maximo,No,1,25,0.665634
8,maximo,No,1,25,0.667721
9,maximo,No,1,25,0.668959
10,maximo,No,1,25,0.6698230000000001
1,maximo,No,1,26,0.669621
2,maximo,No,1,26,0.669211
3,maximo,No,1,26,0.668557
4,maximo,No,1,26,0.668758
5,maximo,No,1,26,0.668557
6,maximo,No,1,26,0.6695420000000001
7,maximo,No,1,26,0.670152
8,maximo,No,1,26,0.6726019999999999
9,maximo,No,1,26,0.674084
10,maximo,No,1,26,0.6743600000000001
